Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1023919592,karasfiha,9003,2669,1.402753,25,0,1,1,0.199351,0,168
1119665806,khouzestan_today,20952,31559,1.699205,38,1,3,4,0.208867,0.333333,168
1397514380,gheymatruz,835,354,1.211021,48,0,3,3,0.212057,0,37
1144680066,shiraz_fouri,1474,3555,1.30121,69,0,8,8,0.244152,0,189
1478953183,siyasatvdiyanat,7028,246,2.034186,349,5,24,29,0.242148,35232.47806,139
1007396597,farsivoa,400885,106872,3.096452,53,5,1,6,0.154054,3357.08958,34
1276696812,dr_bokharaei,32689,3316,1.759406,20,3,0,3,0,0,189
1239204644,bijarkurdistan,446,1332,1.065132,11,0,1,1,0.185159,0,139
1774724410,user_1774724410,0,0,1.025306,6,0,1,1,1,0,18
1560840269,korghond_beruz,432,1092,1.127547,28,1,2,3,0.208928,0,168
1026820992,patogh_bardaskan,120030,23510,2.545562,60,4,3,7,0.199525,955.158965,37
1092400246,etedal_eslahatt,424536,1025,4.502365,409,10,34,44,0.269367,22178.960543,189
1639531622,sedaman_ir,24778,8839,1.851719,59,0,1,1,0.201591,0,206
1003294625,omid_put,189,1395,1.045862,9,0,1,1,1,0,37
1592411500,ivaserial0,0,5827,1.017033,4,0,1,1,0.666667,0,92
1109597801,lifewebir,35585,5750,1.831014,27,4,0,4,0,0,168
1517758918,didehbaneharsin,23733,4314,1.943444,87,3,6,9,0.216407,3192.697654,168
1300049520,akhbarebedonesansor,30441,12915,1.866112,45,1,4,5,0.193822,1613.805556,34
1023460218,avabu,10510,2924,1.822538,145,0,18,18,0.247407,0,168
1098759048,eghtesadd,1155,7692,1.051996,1,1,0,1,0,0,189
1079188244,voriiyerd,20156,7016,1.748388,52,0,3,3,0.230259,0,189
1200806602,last_rate,0,7190,1.049218,12,0,2,2,0.179317,0,247
1192473423,goldenkimia,39,183,1.141806,38,0,4,4,0.205006,0,189
1080366056,behbahankhabar,32811,11031,1.82289,31,0,3,3,0.225275,0,168
1310630534,omidmajid0098,0,1089,1.017033,4,0,1,1,0.191006,0,139
1359173366,mtprotoprooxy,0,14178,1.139879,38,0,1,1,0.153499,0,92
1112101226,akhbarkhorasanjonubi,2366,7268,1.245009,38,0,1,1,0.199426,0,37
1341722242,qazijahan_sasi,1195,1171,1.071252,5,0,1,1,0.194282,0,168
1105498131,baneh_press,1257,4570,1.090774,9,0,2,2,1,0,168
1320760505,vaghaye_doroud,0,210,1.021189,5,0,1,1,0.179519,0,168
1125072486,akhbarbardaskan,0,618,1.0086,2,0,1,1,0.211411,0,106
1097473202,shabshekan99,499,974,1.200963,50,0,4,4,0.172518,0,34
