Source,Target,Type,Id,Label,Weight,Candidate
1000816957,1001976122,Directed,1338,,2,Pezeshkian
1000816957,1083368581,Directed,1342,,4,Pezeshkian
1000816957,1386452125,Directed,1352,,2,Pezeshkian
1000821521,1002739327,Directed,1356,,2,Pezeshkian
1000821521,1005665139,Directed,1358,,2,Pezeshkian
1000821521,1083639254,Directed,1362,,2,Pezeshkian
1000821521,1156829958,Directed,1366,,5,Pezeshkian
1000853641,1001976122,Directed,1373,,3,Pezeshkian
1000853641,1005665139,Directed,1376,,2,Pezeshkian
1000853641,1006939659,Directed,1380,,3,Pezeshkian
1000853641,1060785564,Directed,1386,,2,Pezeshkian
1000853641,1068763227,Directed,1387,,3,Pezeshkian
1000853641,1448380726,Directed,1397,,2,Pezeshkian
1000872108,1006212930,Directed,1407,,2,Pezeshkian
1000872108,1066357067,Directed,1408,,2,Pezeshkian
1000872108,1303134579,Directed,1414,,9,Pezeshkian
1000876896,1004576149,Directed,1418,,2,Pezeshkian
1000883729,1005280116,Directed,1438,,2,Pezeshkian
1000883729,1027676885,Directed,1439,,3,Pezeshkian
1000883729,1308311510,Directed,1441,,2,Pezeshkian
1000891037,1001976122,Directed,1453,,3,Pezeshkian
1000891037,1006263686,Directed,1460,,4,Pezeshkian
1000891037,1006939659,Directed,1462,,9,Pezeshkian
1000891037,1008189297,Directed,1464,,2,Pezeshkian
1000891037,1066357067,Directed,1476,,8,Pezeshkian
1000891037,1068763227,Directed,1478,,3,Pezeshkian
1000891037,1275084443,Directed,1494,,3,Pezeshkian
1000899544,1001976122,Directed,1512,,18,Pezeshkian
1000899544,1005665139,Directed,1516,,2,Pezeshkian
1000899544,1068763227,Directed,1523,,2,Pezeshkian
1000899544,1073113824,Directed,1526,,2,Pezeshkian
1000899544,1154252621,Directed,1533,,2,Pezeshkian
1000899544,1221666621,Directed,1535,,2,Pezeshkian
1000899544,1324213724,Directed,1540,,7,Pezeshkian
1000901866,1013336404,Directed,1553,,2,Pezeshkian
1000901866,1066357067,Directed,1556,,13,Pezeshkian
1000901866,1069714530,Directed,1557,,2,Pezeshkian
1000901866,1087250681,Directed,1560,,3,Pezeshkian
1000903726,1001976122,Directed,1582,,36,Pezeshkian
1000903726,1004135749,Directed,1588,,2,Pezeshkian
1000903726,1004968989,Directed,1591,,3,Pezeshkian
1000903726,1005280116,Directed,1592,,3,Pezeshkian
1000903726,1005665139,Directed,1593,,5,Pezeshkian
1000903726,1006914438,Directed,1596,,2,Pezeshkian
1000903726,1006939659,Directed,1597,,2,Pezeshkian
1000903726,1007007698,Directed,1598,,5,Pezeshkian
1000903726,1058667053,Directed,1612,,2,Pezeshkian
1000903726,1069291200,Directed,1615,,8,Pezeshkian
1000903726,1073428302,Directed,1617,,3,Pezeshkian
1000903726,1121132064,Directed,1627,,2,Pezeshkian
1000903726,1222955556,Directed,1636,,2,Pezeshkian
1000903726,1275084443,Directed,1638,,3,Pezeshkian
1000903726,1859547507,Directed,1655,,3,Pezeshkian
1000903726,1990273594,Directed,1657,,2,Pezeshkian
1000919739,1001976122,Directed,1661,,2,Pezeshkian
1000919739,1002739327,Directed,1662,,2,Pezeshkian
1000919739,1006939659,Directed,1664,,3,Pezeshkian
1000956744,1006939659,Directed,1683,,3,Pezeshkian
1000960164,1859547507,Directed,1694,,2,Pezeshkian
1000975413,1287619445,Directed,1706,,2,Pezeshkian
1000977378,1175781972,Directed,1708,,2,Pezeshkian
1000978043,1005665139,Directed,1711,,2,Pezeshkian
1000978043,1006939659,Directed,1713,,3,Pezeshkian
1000978043,1068763227,Directed,1715,,3,Pezeshkian
1000978043,1083368581,Directed,1716,,2,Pezeshkian
1000978750,1005665139,Directed,1734,,3,Pezeshkian
1000978750,1027676885,Directed,1739,,2,Pezeshkian
1000978750,1069291200,Directed,1742,,3,Pezeshkian
1000978750,1076720298,Directed,1743,,2,Pezeshkian
1000978750,1196190141,Directed,1750,,2,Pezeshkian
1000978750,1465383279,Directed,1755,,2,Pezeshkian
1000978750,1990273594,Directed,1760,,2,Pezeshkian
1000979754,1054434303,Directed,1763,,2,Pezeshkian
1000979754,1068763227,Directed,1765,,2,Pezeshkian
1001013117,1002062924,Directed,1774,,2,Pezeshkian
1001013117,1957239607,Directed,1777,,2,Pezeshkian
1001013346,1065754240,Directed,1781,,5,Pezeshkian
1001043643,1001976122,Directed,1795,,11,Pezeshkian
1001043643,1002562901,Directed,1796,,2,Pezeshkian
1001043643,1004576149,Directed,1803,,2,Pezeshkian
1001043643,1006212930,Directed,1806,,2,Pezeshkian
1001043643,1006939659,Directed,1808,,3,Pezeshkian
1001043643,1007007698,Directed,1809,,2,Pezeshkian
1001043643,1068487996,Directed,1818,,3,Pezeshkian
1001043643,1068763227,Directed,1819,,2,Pezeshkian
1001043643,1100610445,Directed,1824,,2,Pezeshkian
1001043643,1276260585,Directed,1834,,2,Pezeshkian
1001051570,1004576149,Directed,1851,,2,Pezeshkian
1001055913,1003137582,Directed,1881,,2,Pezeshkian
1001074578,1852085391,Directed,1888,,2,Pezeshkian
1001075326,1006939659,Directed,1893,,6,Pezeshkian
1001075326,1119835032,Directed,1901,,8,Pezeshkian
1001075326,1283832408,Directed,1903,,2,Pezeshkian
1001088214,1001976122,Directed,1905,,4,Pezeshkian
1001088214,1002739327,Directed,1906,,2,Pezeshkian
1001088214,1006227643,Directed,1910,,2,Pezeshkian
1001088214,1069291200,Directed,1917,,2,Pezeshkian
1001088214,1859547507,Directed,1927,,2,Pezeshkian
1001107347,1168062864,Directed,1942,,4,Pezeshkian
1001107347,1391104703,Directed,1946,,2,Pezeshkian
1001126669,1048311732,Directed,1963,,2,Pezeshkian
1001126669,1107633871,Directed,1971,,2,Pezeshkian
1001126669,1142191532,Directed,1972,,3,Pezeshkian
1001126669,1234125827,Directed,1974,,2,Pezeshkian
1001156199,1001976122,Directed,2007,,72,Pezeshkian
1001156199,1002739327,Directed,2010,,7,Pezeshkian
1001156199,1002765601,Directed,2011,,15,Pezeshkian
1001156199,1004576149,Directed,2017,,13,Pezeshkian
1001156199,1005665139,Directed,2019,,24,Pezeshkian
1001156199,1006212930,Directed,2020,,16,Pezeshkian
1001156199,1006227643,Directed,2021,,3,Pezeshkian
1001156199,1006914438,Directed,2025,,2,Pezeshkian
1001156199,1006939659,Directed,2026,,11,Pezeshkian
1001156199,1007007698,Directed,2027,,2,Pezeshkian
1001156199,1007883087,Directed,2028,,2,Pezeshkian
1001156199,1010380688,Directed,2034,,2,Pezeshkian
1001156199,1014795163,Directed,2037,,2,Pezeshkian
1001156199,1027676885,Directed,2040,,2,Pezeshkian
1001156199,1054434303,Directed,2043,,2,Pezeshkian
1001156199,1058667053,Directed,2045,,2,Pezeshkian
1001156199,1065754240,Directed,2047,,3,Pezeshkian
1001156199,1066357067,Directed,2048,,9,Pezeshkian
1001156199,1068487996,Directed,2049,,17,Pezeshkian
1001156199,1068763227,Directed,2050,,4,Pezeshkian
1001156199,1083639254,Directed,2052,,2,Pezeshkian
1001156199,1119835032,Directed,2058,,2,Pezeshkian
1001156199,1193382006,Directed,2068,,3,Pezeshkian
1001156199,1221666621,Directed,2071,,2,Pezeshkian
1001156199,1239584755,Directed,2072,,2,Pezeshkian
1001156199,1239664681,Directed,2073,,2,Pezeshkian
1001156199,1275084443,Directed,2078,,7,Pezeshkian
1001156199,1286006168,Directed,2082,,2,Pezeshkian
1001156199,1324213724,Directed,2085,,3,Pezeshkian
1001156199,1350778060,Directed,2087,,2,Pezeshkian
1001156199,1353094906,Directed,2089,,2,Pezeshkian
1001156199,1532857131,Directed,2094,,2,Pezeshkian
1001156199,1834076179,Directed,2101,,2,Pezeshkian
1001159214,1405658931,Directed,2124,,3,Pezeshkian
1001159214,1454361599,Directed,2126,,2,Pezeshkian
1001159214,1477060801,Directed,2127,,2,Pezeshkian
1001170974,1001976122,Directed,2130,,17,Pezeshkian
1001170974,1002739327,Directed,2133,,11,Pezeshkian
1001170974,1002765601,Directed,2134,,15,Pezeshkian
1001170974,1002843824,Directed,2136,,4,Pezeshkian
1001170974,1004069147,Directed,2139,,2,Pezeshkian
1001170974,1004576149,Directed,2143,,6,Pezeshkian
1001170974,1004793780,Directed,2144,,3,Pezeshkian
1001170974,1005280116,Directed,2145,,12,Pezeshkian
1001170974,1005665139,Directed,2146,,19,Pezeshkian
1001170974,1005866359,Directed,2147,,5,Pezeshkian
1001170974,1006227643,Directed,2150,,11,Pezeshkian
1001170974,1006298883,Directed,2152,,2,Pezeshkian
1001170974,1006914438,Directed,2155,,5,Pezeshkian
1001170974,1006939659,Directed,2156,,11,Pezeshkian
1001170974,1007007698,Directed,2157,,8,Pezeshkian
1001170974,1013336404,Directed,2164,,2,Pezeshkian
1001170974,1027676885,Directed,2168,,6,Pezeshkian
1001170974,1060460853,Directed,2176,,3,Pezeshkian
