Id,Label,views,followers,importance,posts,indegree,outdegree,Degree,closnesscentrality,betweenesscentrality,modularity_class
1109182110,payeshtehran,660,725,1.134442,27,0,2,2,0.236144,0,6434
1449308328,news_revolution,7699,1142,2.045995,336,2,22,24,0.266131,1682.720669,2472
1036686378,bmt_ir,0,1803,1.025306,6,0,1,1,0.666667,0,4345
1160626316,lotfollahmahdikhaninew,1270,108,1.440311,134,2,15,17,0.240685,109.281017,6434
1006280644,isnakhr,3180,1639,1.386507,73,1,3,4,0.215967,4.772693,2472
1128735808,taninezagros,185,1779,1.227176,65,0,2,2,0.168122,0,2472
1875559038,mahlaandherfriends,0,22,1.0086,2,0,1,1,0.153224,0,3455
1108734307,bmneews1,24946,34092,1.759287,38,0,2,2,0.22629,0,6434
1272285153,harimemah1,0,16,1.033424,8,0,1,1,0.184544,0,4227
1053324912,hagh_ra_beshnas,3460,414,1.197576,15,1,0,1,0,0,13017
1026250330,shahrabeziba,0,1187,1.017033,4,0,1,1,1,0,4345
1340762889,gonbadnews7,4224,10067,1.474431,90,1,8,9,0.243768,6.945018,6434
1009694102,gharchaknews,59716,15532,2.224581,61,2,8,10,0.229203,1380.67329,10488
1424207975,niazmandineyshaboor,255,468,1.132828,32,0,3,3,0.2148,0,6434
1091172020,akhbaar_khodemoni,0,152635,1.10721,28,0,4,4,0.244217,0,4345
1235667291,andisheardabil,4242,460,1.485571,94,0,7,7,0.202581,0,2472
1376221217,sehgonbadnews,518,873,1.060181,9,0,1,1,0.184048,0,9848
1022991631,donyamini,0,13624,1.021189,5,0,1,1,1,0,4345
1441475278,hamshahri_nahavand,5257,3509,1.272877,19,1,1,2,0.206616,1.125,2472
1088059403,chekhabar102,19,2412,1.226319,68,6,7,13,0.244212,1447.197508,6434
1034666573,ahanmakanbot,0,568,1.0086,2,0,1,1,1,0,4345
1101758387,mahroyee,569,1635,1.090041,16,0,1,1,0.666667,0,4345
1002585347,koraim,0,5624,1.049218,12,0,2,2,0.75,0,4345
1028219343,dr_roshanfkr,2,55,1.143114,39,0,6,6,0.232418,0,6434
1555370083,bvon2qnmnao5mwfk,505,242,1.269634,75,1,7,8,0.228053,1.583708,11017
1006314121,khandaavanehh,0,48775,1.045323,11,0,1,1,1,0,3455
1276260585,arzakani,15096,3732,1.46849,12,69,1,70,0.219118,69461.126924,2472
1189304282,deltang_karbala_tabadol,0,5539,1.075547,19,0,1,1,0.170547,0,2472
1332360424,twalfa,522,387,1.177752,42,0,2,2,0.210666,0,6434
1590108488,baraneshgh_400,0,4253,1.021189,5,0,1,1,0.214337,0,13017
1652135260,madaras_da,0,114239,1.025306,6,0,1,1,0.666667,0,4345
1433997445,manaabourse,0,755,1.0086,2,0,1,1,0.179711,0,4345
1140378336,esfehan_fouri,2416,14735,1.286622,50,0,5,5,0.237697,0,11292
1004482037,limoshirin,0,4528,1.033424,8,0,1,1,1,0,4345
1030460336,chadegans,94,426,1.021166,4,0,1,1,1,0,4345
1002338106,bintjbeilnews,100175,193295,2.068298,3,3,0,3,0,0,7267
1008915396,alvand_man,11859,4164,1.555804,45,0,1,1,0.218059,0,13017
1052099383,tehrantvfans,1885,5809,1.193883,29,0,4,4,0.190735,0,4345
1579052780,agasi_ft,7916,16096,1.305116,10,5,2,7,0.200067,5965,3260
1002249912,khabare_vije,1057010,1306273,4.766432,275,45,41,86,0.281863,74721.110421,6434
1065754240,aboifaras,1124,1138,1.101795,13,33,0,33,0,0,7287
1401111668,mesagh313,185,113,1.126166,31,0,1,1,0.4,0,4345
1076243115,avayeiran99,1387,598,1.288934,66,3,6,9,0.192963,86.267374,1638
1978726424,sepahe_cybery,103893,100372,2.657521,96,2,12,14,0.269379,250.622731,13017
1145682927,shafaghnews,1654,1121,1.19856,33,0,3,3,0.19018,0,2472
1141492404,mohammadansari_15,0,1939,1.0086,2,0,1,1,1,0,13017
1631807832,ir_zaman,13394,5170,1.452206,15,0,1,1,0.210554,0,6434
1128314746,hesamabadm,2359,983,1.220042,31,0,2,2,0.201962,0,2472
1365063504,gowdinkhabar,1560,2175,1.085481,5,0,1,1,0.666667,0,4345
1775018315,irane_sarbolandema,3435,782,1.260548,31,0,1,1,0.224713,0,2472
1838561890,ir_lashiya,61867,195653,1.926013,9,1,0,1,0,0,7318
1387928490,tebyangonabad,1343,364,1.156942,25,3,0,3,0,0,7320
1144658080,beruzbebin11,2729,13818,1.123613,4,3,0,3,0,0,7321
1234125827,b_tarofardabil,9270,1490,1.452345,35,79,4,83,0.187864,31321.618148,4345
1012220991,javadiehnews,906,4675,1.080617,10,0,1,1,1,0,4345
